選挙区,定員,立候補者氏名,"立候補者氏名
（かな）",性別,年齢,党派,新 現 元,ウェブサイト
,,銀川ゆい子,ぎんかわ　ゆいこ,女,31,民進党,新,http://ginkawa.org
,,ばば信男,ばば　のぶお,男,56,都民ファーストの会,新,http://www.babanobuo.com/
,,ほっち易隆,ほっち　やすたか,男,41,自由民主党,現,http://hotchi.jp/
,,中山信行,なかやま　のぶゆき,男,58,公明党,現,http://nakayama.bg1.jp/
,,後藤なみ,ごとう　なみ,女,30,都民ファーストの会,新,https://gotonami.com
,,斉藤まりこ,さいとう　まりこ,女,42,日本共産党,新,http://saito-mariko.info/
,,うすい浩一,うすい　こういち,男,57,公明党,新,http://usui-kouichi.net/
,,髙島なおき,たかしま　なおき,男,67,自由民主党,現,http://www.zenryoku.net
葛飾区,,,,,,,,
,,米山真吾,よねやま　しんご,男,47,民進党,新,http://www.yoneyama-shingo.com
,,のがみ純子,のがみ　じゅんこ,女,64,公明党,現,http://www.nogami-junko.net
,,谷野せいしろう,たにの　せいしろう,男,75,区民ファーストの会,新,http://tanino-seishiro.com/
,,米川大二郎,よねかわ　だいじろう,男,49,都民ファーストの会,新,http://yonekawadaijiro.jp/
,,いずみ武彦,いずみ　たけひこ,男,48,自由民主党,現,http://izumitakehiko.com
,,舟坂ちかお,ふなさか　ちかお,男,69,自由民主党,現,http://www.funasaka-chikao.com/
,,和泉なおみ,いずみ　なおみ,女,55,日本共産党,現,https://blogs.yahoo.co.jp/izumi_jmsy
,,立花孝志,たちばな　たかし,男,49,NHKから国民を守る党,新,http://nhkkara.jp/
江戸川区,,,,,,,,
,,田の上いくこ,たのうえ　いくこ,女,47,都民ファーストの会,元,http://ikuko-tanoue.com/
,,たじま和明,たじま　かずあき,男,66,自由民主党,現,なし
,,上田令子,うえだ　れいこ,女,52,都民ファーストの会,現,http://www.ueda-reiko.com
,,上野和彦,うえの　かずひこ,男,64,公明党,現,http://www.ueno-net.com
,,河野ゆりえ,こうの　ゆりえ,女,67,日本共産党,現,http://yurie-kouno.com/
,,宇田川さとし,うだがわ　さとし,男,52,自由民主党,現,http://www.udagawa.tv
八王子市,,,,,,,,
,,滝田やすひこ,たきた　やすひこ,男,35,都民ファーストの会,新,https://yasuhiko-takita.com/
,,清水ひで子,しみず　ひでこ,女,65,日本共産党,現,http://www.simizu-h.com
,,もろずみみのる,もろずみ　みのる,男,55,都民ファーストの会,現,http://www.morozumi-minoru.jp
,,安藤おさみ,あんどう　おさみ,男,37,民進党,新,http://www.osami-ando.com
,,伊藤しょうこう,いとう　しょうこう,男,48,自由民主党,新,http://park20.wakwak.com/~shoko/
,,滝沢景一,たきざわ　けいいち,男,51,無所属,元,http://k-takizawa.com
,,東村くにひろ,ひがしむら　くにひろ,男,55,公明党,現,http://www.k-higashimura.com
,,鈴木レオ,すずき　れお,男,39,自由民主党,新,http://www.leo-leo.jp
,,岡村みきお,おかむら　みきお,男,60,日本第一党,新,https://m-okamura.japan-first.net/
立川市,,,,,,,,
,,酒井大史,さかい　だいし,男,49,無所属,現,http://www.sakai-tachikawa.tokyo
,,増田いちろう,ますだ　いちろう,男,52,都民ファーストの会,新,http://ichiro-masuda.tokyo/
,,清水こうじ,しみず　こうじ,男,51,自由民主党,現,http://koji-s.net/
,,浅川修一,あさかわ　しゅういち,男,62,日本共産党,元,http://kouho.jcp-tokyo.net/asakawa/
武蔵野市,,,,,,,,
,,島崎よしじ,しまざき　よしじ,男,51,自由民主党,現,http://shimazakiyoshiji.com
,,鈴木くにかず,すずき　くにかず,男,28,都民ファーストの会,新,https://kunikazu.jp
,,松下玲子,まつした　れいこ,女,46,民進党,元,http://015.bz/
三鷹市,,,,,,,,
,,中村ひろし,なかむら　ひろし,男,45,民進党,現,http://nakamurahiroshi.jpn.org/
,,加藤こうじ,かとう　こうじ,男,50,自由民主党,新,http://katokoji.tokyo/
,,むろ喜代一,むろ　きよかず,男,61,日本共産党,新,http://twitter.com/jcpmuro
,,山田ひろし,やまだ　ひろし,男,32,都民ファーストの会,新,http://yamadahiroshi.jp/
青梅市,,,,,,,,
,,つるた一忠,つるた　かずただ,男,72,無所属,新,なし
,,森村たかゆき,もりむら　たかゆき,男,43,都民ファーストの会,新,https://morimura.tokyo
,,野村有信,のむら　ありのぶ,男,76,自由民主党,現,http://www.nomura-arinobu.com/
府中市,,,,,,,,
,,鈴木きんじ,すずき　きんじ,男,61,自由民主党,現,http://s-kinji.com
,,からさわ地平,からさわ　ちへい,男,28,日本共産党,新,http://jcp-fuchu.com/karasawa-c/
,,藤井あきら,ふじい　あきら,男,35,都民ファーストの会,新,http://fujiiakira.tokyo/
,,小山くにひこ,こやま　くにひこ,男,41,都民ファーストの会,現,http://www.koyama.be
昭島市,,,,,,,,
,,中村たけし,なかむら　たけし,男,41,自由民主党,新,http://www.takeshinakamura.jp/
,,内山真吾,うちやま　しんご,男,37,都民ファーストの会,新,http://ameblo.jp/boxer-shingo/
,,奥村ひろし,おくむら　ひろし,男,66,日本共産党,新,なし
町田市,,,,,,,,
,,池川友一,いけがわ　ゆういち,男,32,日本共産党,新,http://blog.goo.ne.jp/u1_ikegawa
,,今村るか,いまむら　るか,男,48,民進党,現,http://rukaruka.info
,,えびさわ由紀,えびさわ　ゆき,女,43,日本維新の会,新,https://ebisawayuki.com
,,よしわら修,よしわら　おさむ,男,61,自由民主党,現,http://www.yoshiwara.jp/
,,おくざわ高広,おくざわ　たかひろ,男,35,都民ファーストの会,新,http://okuzawa-takahiro.com/
,,上田てつじ,うえだ　てつじ,男,57,幸福実現党,新,http://www.ueda-tetsuji.net
,,こいそ善彦,こいそ　よしひこ,男,62,公明党,現,http://www.komei.or.jp/km/koiso-yoshihiko/
