選挙区,定員,立候補者氏名,"立候補者氏名（かな）",性別,年齢,党派,新 現 元,ウェブサイト,Twitter URL,Facebook ID,YouTube URL,Instagram ID,Google+ URL,処理エラー
,,たちばな正剛,たちばな　せいごう,男,64,公明党,現,http://www.komei.or.jp/km/tokyo-tachibana-seigo/,https://twitter.com/voiceaction2016,https://www.facebook.com/tachibana.seigou?fref=ts,https://www.youtube.com/watch?v=djAQCuZSGa4&authuser=0,,,
,,河野ゆうき,こうの　ゆうき,男,47,自由民主党,現,http://www.kouno.tokyo.jp/,,,,,,
,,木下ふみこ,きのした　ふみこ,女,50,都民ファーストの会,新,http://www.k-fumiko.jp,http://twitter.com/kinoshitafumiko,https://www.facebook.com/kinoshitafumiko/,https://www.youtube.com/channel/UCGh_OTQNFAZOJRauhLlEKWw,,,
,,平けいしょう,たいら　けいしょう,男,29,都民ファーストの会,新,http://www.tairakeisyo.com/,,,,,,
,,松田やすまさ,まつだ　やすまさ,男,40,自由民主党,現,http://yasumasa-matsuda.info,,,,,,
,,とくとめ道信,とくとめ　みちのぶ,男,65,日本共産党,現,http://m-tokutome.com/,,https://www.facebook.com/mitinobu.tokutome,https://www.youtube.com/channel/UCEfnRgUhXtO8wpyOoNYmAwg,,,
,,佐上彰浩,さがみ　あきひろ,男,46,無所属,新,Twitterのユーザー名　AkihiroSagami,https://twitter.com/AkihiroSagami,,,,,
練馬区,,,,,,,,,,,,,,
,,渋谷誠,しぶや　まこと,男,53,環境党,新,http://www.kankyotou.jp,https://twitter.com/kankyotou,https://www.facebook.com/kankyotou.shibuya,,,,
,,あさの克彦,あさの　かつひこ,男,42,民進党,現,http://asano-k.net,https://twitter.com/katsuhikoasano,https://www.facebook.com/asanokatsuhiko/?fref=ts,https://www.youtube.com/channel/UC1rVC6-s2qN3IezLj2NFr8g,,https://plus.google.com/u/0/103812044711630915781/,
,,藤井とものり,ふじい　とものり,男,41,民進党,新,https://ameblo.jp/fujiitomonori-nerima/,,,,,,
,,とや英津子,とや　えつこ,女,53,日本共産党,新,http://toya-jcp.info,https://twitter.com/@estukotoya,https://www.facebook.com/toyasuppo/,https://www.youtube.com/channel/UCHxMqIdlEM_4xTDZv1Wo8IA,,,
,,小林けんじ,こばやし　けんじ,男,47,公明党,現,http://kobaken-komei.com,https://twitter.com/kobaken_komei,https://www.facebook.com/kobaken.komei,http://www.youtube.com/tokyo/,,,
,,やまかあけみ,やまか　あけみ,女,63,自由民主党,現,http://www.yamaka-akemi.jp/,,http://www.facebook.com/yamaka.akemi,,,,
,,しばざき幹男,しばざき　みきお,男,61,自由民主党,現,http://www.shibazaki-mikio.jp/,,https://www.facebook.com/mikio.shibazaki?fref=ts,,,,
,,きくちやすえ,きくち　やすえ,女,54,東京・生活者ネットワーク,新,http://kikuchi.seikatsusha.me,,https://www.facebook.com/yasue.kikuchi.714,,,,
,,おじま紘平,おじま　こうへい,男,28,都民ファーストの会,新,http://ojimakohei.jp,https://twitter.com/ojimakohei,,,,,
,,村松一希,むらまつ　かずき,男,36,都民ファーストの会,新,http://k-muramatsu.com,,,,,,
足立区,,,,,,,,,,,,,,
,,鈴木かつひろ,すずき　かつひろ,男,59,日本維新の会,元,http://suzukikatsuhiro.jp/,http://twitter.com/katsuhirokatsu,http://www.facebook.com/katsuhiro.suzuki.35,https://www.youtube.com/channel/UC2fCJ_aRZ2CIL0m5Whv68DQ,,,
,,銀川ゆい子,ぎんかわ　ゆいこ,女,31,民進党,新,http://ginkawa.org,https://twitter.com/yuikoginkawa,https://www.facebook.com/%E9%8A%80%E5%B7%9D-%E3%82%86%E3%81%84%E5%AD%90-110359972836817/,,,,
,,ばば信男,ばば　のぶお,男,56,都民ファーストの会,新,http://www.babanobuo.com/,https://twitter.com/@babanobuo,https://www.facebook.com/babanobuo2017/,,,,
,,ほっち易隆,ほっち　やすたか,男,41,自由民主党,現,http://hotchi.jp/,https://twitter.com/hotci0323/,https://www.facebook.com/328hochi/,https://www.youtube.com/channel/UCgSWqMvVanGIdBalRsx0BuQ,,,
,,中山信行,なかやま　のぶゆき,男,58,公明党,現,http://nakayama.bg1.jp/,https://twitter.com/@nobudon7,https://www.facebook.com/adachi.nakayama/,,,,
,,後藤なみ,ごとう　なみ,女,30,都民ファーストの会,新,https://gotonami.com,https://twitter.com/@gotonami_Tomin1,https://www.facebook.com/GotoNamiTomin1st/,,,,
,,斉藤まりこ,さいとう　まりこ,女,42,日本共産党,新,http://saito-mariko.info/,https://twitter.com/＠tsukuttenet,https://www.facebook.com/marikojimusyo/,https://www.youtube.com/channel/UCVjtiClqlcfvi901PvRxwQA,,,
,,うすい浩一,うすい　こういち,男,57,公明党,新,http://usui-kouichi.net/,https://twitter.com/‎@maikana5155,https://www.facebook.com/%E3%81%86%E3%81%99%E3%81%84-%E6%B5%A9%E4%B8%80-336533063210111/,https://www.youtube.com/playlist?list=PLiMlUyKZToik4JRmmcyurTQBxCwk3YsEG,,,
,,髙島なおき,たかしま　なおき,男,67,自由民主党,現,http://www.zenryoku.net,,https://www.facebook.com/takashima.naoki.adachiku,https://www.youtube.com/watch?v=SHwz-Un-qLU,,,
葛飾区,,,,,,,,,,,,,,
,,米山真吾,よねやま　しんご,男,47,民進党,新,http://www.yoneyama-shingo.com,,https://www.facebook.com/yoneyamasingo/,,,,
,,のがみ純子,のがみ　じゅんこ,女,64,公明党,現,http://www.nogami-junko.net,https://twitter.com/@junko_nogami116,https://www.facebook.com/junko.nogami.9,,,,
,,谷野せいしろう,たにの　せいしろう,男,75,区民ファーストの会,新,http://tanino-seishiro.com/,,https://www.facebook.com/seishiro.tanino/,,,,
